"pgi"	"subject"	"case"	"id"	"trialNr.x"	"condition"	"likelihood.read"	"likelihood.share"	"dfc"	"subject.y"	"trialNr.y"	"case.x"	"condition.x"	"num.fix.total"	"mean.fixation.duration..s."	"mean.fixation.duration.in.AOI..s."	"mean.fixation.duration.not.in.AOI..s."	"num.dwells_01.source."	"num.dwells_02.intro."	"num.dwells_03.image."	"num.dwells_04.headline."	"num.dwells_05.reactions."	"num.dwells_06.count."	"num.dwells_07.comtop."	"num.dwells_08.combottom."	"mean.dwell.dur_01.source...s."	"mean.dwell.dur_02.intro...s."	"mean.dwell.dur_03.image...s."	"mean.dwell.dur_04.headline...s."	"mean.dwell.dur_05.reactions...s."	"mean.dwell.dur_06.count...s."	"mean.dwell.dur_07.comtop...s."	"mean.dwell.dur_08.combottom...s."	"total.dwell.dur_01.source...s."	"total.dwell.dur_02.intro...s."	"total.dwell.dur_03.image...s."	"total.dwell.dur_04.headline...s."	"total.dwell.dur_05.reactions...s."	"total.dwell.dur_06.count...s."	"total.dwell.dur_07.comtop...s."	"total.dwell.dur_08.combottom...s."	"total.dwell.dur.before.comment_01.source...s."	"total.dwell.dur.before.comment_02.intro...s."	"total.dwell.dur.before.comment_03.image...s."	"total.dwell.dur.before.comment_04.headline...s."	"total.dwell.dur.before.comment_05.reactions...s."	"total.dwell.dur.before.comment_06.count...s."	"total.dwell.dur.after.comment_01.source...s."	"total.dwell.dur.after.comment_02.intro...s."	"total.dwell.dur.after.comment_03.image...s."	"total.dwell.dur.after.comment_04.headline...s."	"total.dwell.dur.after.comment_05.reactions...s."	"total.dwell.dur.after.comment_06.count...s."	"first.fix.latency_01.source...s."	"first.fix.latency_02.intro...s."	"first.fix.latency_03.image...s."	"first.fix.latency_04.headline...s."	"first.fix.latency_05.reactions...s."	"first.fix.latency_06.count...s."	"first.fix.latency_07.comtop...s."	"first.fix.latency_08.combottom...s."	"mean.RMS..deg."	"mean.sqrt.BCEA...deg."	"data.loss..fraction."	"total.dwell.dur_09.com"	"total_dwell_comments"	"total_dwell_post_comments"	"total_dwell_post"	"total_dwell_post_before"	"total_dwell_post_after"	"case.y"	"condition.y"	"charCount1"	"wordCount1"	"charCount2"	"wordCount2"	"comments_char_count"	"comments_word_count"	"rel_dwell_com_cc"	"rel_dwell_com_wc"	"post_genre"	"post_po_binary"	"Timestamp"	"Fyll.i.ditt.födelseår"	"Kön"	"freq_facebook_use"	"freq_share_binary"	"comments_share"	"variable"	"post_genre_subject_interest"	"post_genre_binary"
"112-ec"	112	"124292684247609_1658676644142531"	"112|124292684247609_1658676644142531|disagree"	6	"disagree"	7.611	5.444	"124292684247609_1658676644142531|disagree"	112	6	"124292684247609_1658676644142531"	"disagree"	124	0.206	0.209	0.183	3	3	2	3	1	0	3	2	0.248	0.72	0.638	1.788	0.157	0	2.493	2.918	0.744	2.159	1.276	5.364	0.157	0	7.478	5.836	0.511	1.686	0.313	2.053	0.157	0	0.233	0.473	0.963	3.311	0	0	0.182	0.365	3.068	3.76	6.076	0	7.725	15.303	0.09	0.169	0.009	13.314	13.314	23.014	9.7	4.72	4.98	"124292684247609_1658676644142531"	"disagree"	262	57	132	31	394	88	33.7918781725888	151.295454545455	"ec"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"ec"	3	"1"
"112-ec"	112	"124292684247609_1770258722984322"	"112|124292684247609_1770258722984322|agree"	3	"agree"	9.533	6.289	"124292684247609_1770258722984322|agree"	112	3	"124292684247609_1770258722984322"	"agree"	96	0.212	0.216	0.196	2	0	1	3	2	0	4	4	0.804	0	0.395	2.121	0.407	0	1.139	0.719	1.609	0	0.395	6.362	0.815	0	4.557	2.877	1.314	0	0.395	3.291	0	0	0.295	0	0	3.071	0.815	0	0.157	0	2.856	3.294	14.385	0	8.037	10.61	0.064	0.119	0	7.434	7.434	16.615	9.181	5	4.181	"124292684247609_1770258722984322"	"agree"	35	10	87	21	122	31	60.9344262295082	239.806451612903	"ec"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"ec"	3	"1"
"112-ec"	112	"124292684247609_1646987058644823"	"112|124292684247609_1646987058644823|disagree"	4	"disagree"	1.333	0.689	"124292684247609_1646987058644823|disagree"	112	4	"124292684247609_1646987058644823"	"disagree"	121	0.212	0.216	0.196	3	2	2	2	1	0	4	1	0.734	0.16	0.268	1.321	0.238	0	2.733	4.12	2.201	0.32	0.535	2.642	0.238	0	10.931	4.12	1.507	0.32	0.535	1.829	0	0	0.694	0	0	0.813	0.238	0	0.301	0.148	3.973	4.094	23.997	0	6.586	18.782	0.067	0.13	0	15.051	15.051	20.987	5.936	4.191	1.745	"124292684247609_1646987058644823"	"disagree"	204	43	121	31	325	74	46.3107692307692	203.391891891892	"ec"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"ec"	3	"1"
"112-ec"	112	"124292684247609_1618187394858123"	"112|124292684247609_1618187394858123|agree"	21	"agree"	6.067	6.111	"124292684247609_1618187394858123|agree"	112	21	"124292684247609_1618187394858123"	"agree"	81	0.217	0.217	0.217	1	1	3	2	0	1	1	2	0.205	1.919	0.251	1.298	0	0.117	6.288	1.985	0.205	1.919	0.754	2.596	0	0.117	6.288	3.97	0.205	1.919	0.587	2.358	0	0	0	0	0.167	0.238	0	0.117	2.23	0.14	2.469	2.669	0	19.11	5.715	14.253	0.064	0.131	0	10.258	10.258	15.849	5.591	5.069	0.522	"124292684247609_1618187394858123"	"agree"	133	32	124	23	257	55	39.9143968871595	186.509090909091	"ec"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"ec"	3	"1"
"112-po"	112	"124292684247609_1707740985902763"	"112|124292684247609_1707740985902763|disagree"	5	"disagree"	2.556	0	"124292684247609_1707740985902763|disagree"	112	5	"124292684247609_1707740985902763"	"disagree"	189	0.222	0.225	0.203	3	4	3	1	0	0	1	1	0.454	4.044	0.497	1.663	0	0	3.309	11.794	1.361	16.175	1.491	1.663	0	0	3.309	11.794	1.361	16.175	1.296	1.663	0	0	0	0	0.195	0	0	0	0.143	0.361	22.834	24	0	0	27.139	32.638	0.084	0.161	0.016	15.103	15.103	35.793	20.69	20.495	0.195	"124292684247609_1707740985902763"	"disagree"	212	40	349	72	561	112	26.921568627451	134.848214285714	"po"	1	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"po"	1	"1"
"112-po"	112	"124292684247609_1806817052661822"	"112|124292684247609_1806817052661822|agree"	10	"agree"	10	6.689	"124292684247609_1806817052661822|agree"	112	10	"124292684247609_1806817052661822"	"agree"	59	0.187	0.189	0.175	1	2	2	1	0	0	1	1	0.153	1.577	0.345	2.639	0	0	2.548	0.258	0.153	3.153	0.69	2.639	0	0	2.548	0.258	0.153	2.93	0.205	2.639	0	0	0	0.223	0.485	0	0	0	0.143	0.323	3.573	3.803	0	0	6.856	10.484	0.059	0.126	0	2.806	2.806	9.441	6.635	5.927	0.708	"124292684247609_1806817052661822"	"agree"	88	23	45	10	133	33	21.0977443609023	85.030303030303	"po"	1	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"po"	1	"1"
"112-po"	112	"124292684247609_1587741834569346"	"112|124292684247609_1587741834569346|disagree"	16	"disagree"	4.811	4.8	"124292684247609_1587741834569346|disagree"	112	16	"124292684247609_1587741834569346"	"disagree"	148	0.201	0.203	0.18	1	3	3	2	0	0	1	1	1.14	1.584	0.427	1.456	0	0	7.054	10.211	1.14	4.752	1.282	2.912	0	0	7.054	10.211	1.14	3.882	0.775	2.285	0	0	0	0.87	0.507	0.627	0	0	1.585	0.145	9.688	7.234	0	0	10.558	19.179	0.075	0.136	0.003	17.265	17.265	27.351	10.086	8.082	2.004	"124292684247609_1587741834569346"	"disagree"	179	43	297	64	476	107	36.2710084033613	161.355140186916	"po"	1	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"po"	1	"1"
"112-po"	112	"124292684247609_1521205261223004"	"112|124292684247609_1521205261223004|agree"	13	"agree"	2.067	0	"124292684247609_1521205261223004|agree"	112	13	"124292684247609_1521205261223004"	"agree"	80	0.23	0.227	0.243	2	2	1	2	1	0	3	2	0.223	1.276	0.523	1.683	0.198	0	2.063	0.859	0.446	2.551	0.523	3.367	0.198	0	6.189	1.717	0.446	2.551	0.523	3.367	0	0	0	0	0	0	0.198	0	0.144	0.321	8.436	5.349	19.982	0	9.492	16.6	0.061	0.129	0	7.906	7.906	14.991	7.085	6.887	0.198	"124292684247609_1521205261223004"	"agree"	87	20	72	19	159	39	49.7232704402516	202.717948717949	"po"	1	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"po"	1	"1"
"112-so"	112	"124292684247609_1616749178335278"	"112|124292684247609_1616749178335278|disagree"	11	"disagree"	6.233	1.6	"124292684247609_1616749178335278|disagree"	112	11	"124292684247609_1616749178335278"	"disagree"	128	0.212	0.213	0.179	4	2	3	3	1	0	4	3	0.369	0.125	0.142	0.682	0.287	0	1.297	5.594	1.476	0.25	0.425	2.047	0.287	0	5.189	16.782	1.349	0.25	0.325	1.639	0	0	0.127	0	0.1	0.408	0.287	0	0.189	0.795	1.445	1.66	29.133	0	4.428	7.178	0	0.132	0.008	21.971	21.971	26.456	4.485	3.563	0.922	"124292684247609_1616749178335278"	"disagree"	60	15	219	53	279	68	78.7491039426523	323.102941176471	"so"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"so"	3	"0"
"112-so"	112	"124292684247609_1877491672261026"	"112|124292684247609_1877491672261026|agree"	19	"agree"	10	7.911	"124292684247609_1877491672261026|agree"	112	19	"124292684247609_1877491672261026"	"agree"	127	0.214	0.212	0.236	2	2	3	2	2	0	3	2	0.164	1.794	0.749	1.513	0.129	0	3.468	2.255	0.328	3.587	2.247	3.026	0.257	0	10.403	4.509	0.143	3.587	2.02	2.692	0.127	0	0.185	0	0.227	0.334	0.13	0	0.148	0.318	2.358	4.438	10.421	0	13.081	22.389	0.059	0.123	0	14.912	14.912	24.357	9.445	8.569	0.876	"124292684247609_1877491672261026"	"agree"	195	41	114	27	309	68	48.2588996763754	219.294117647059	"so"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"so"	3	"0"
"112-so"	112	"124292684247609_1760127997330728"	"112|124292684247609_1760127997330728|agree"	17	"agree"	1.744	0	"124292684247609_1760127997330728|agree"	112	17	"124292684247609_1760127997330728"	"agree"	74	0.209	0.22	0.176	4	5	3	2	1	0	2	1	0.356	0.419	0.419	1.685	0.18	0	1.802	0.163	1.425	2.095	1.256	3.369	0.18	0	3.604	0.163	0.881	1.922	1.083	2.346	0.18	0	0.544	0	0.173	0	0	0	0.171	0.33	2.066	5.188	8.593	0	10.186	14.423	0.054	0.111	0	3.767	3.767	12.092	8.325	6.412	0.717	"124292684247609_1760127997330728"	"agree"	90	22	32	7	122	29	30.8770491803279	129.896551724138	"so"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"so"	3	"0"
"112-so"	112	"124292684247609_1847938621882998"	"112|124292684247609_1847938621882998|disagree"	9	"disagree"	5.156	0	"124292684247609_1847938621882998|disagree"	112	9	"124292684247609_1847938621882998"	"disagree"	108	0.207	0.217	0.162	3	3	2	2	1	0	2	1	0.17	1.463	0.331	1.17	0.167	0	4.578	2.277	0.511	4.389	0.662	2.34	0.167	0	9.156	2.277	0.511	3.974	0.497	1.665	0.167	0	0	0.415	0.165	0.675	0	0	0.149	0.328	8.133	6.358	8.687	0	10.462	20.111	0.078	0.178	0.017	11.433	11.433	19.502	8.069	6.814	1.255	"124292684247609_1847938621882998"	"disagree"	215	47	60	11	275	58	41.5745454545455	197.120689655172	"so"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"so"	3	"0"
"112-sp"	112	"124292684247609_1768089829867878"	"112|124292684247609_1768089829867878|agree"	15	"agree"	0	0	"124292684247609_1768089829867878|agree"	112	15	"124292684247609_1768089829867878"	"agree"	42	0.213	0.215	0.193	3	1	4	2	0	0	1	1	0.248	0.34	0.811	1.256	0	0	0.91	0.223	0.743	0.34	3.245	2.512	0	0	0.91	0.223	0.743	0.34	3.183	1.65	0	0	0	0	0.062	0.862	0	0	0.145	0.337	0.709	0.904	0	0	7.61	8.579	0.054	0.115	0	1.133	1.133	7.973	6.84	5.916	0.924	"124292684247609_1768089829867878"	"agree"	31	6	57	13	88	19	12.875	59.6315789473684	"sp"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"sp"	1	"0"
"112-sp"	112	"124292684247609_1696704947006367"	"112|124292684247609_1696704947006367|agree"	7	"agree"	0	0	"124292684247609_1696704947006367|agree"	112	7	"124292684247609_1696704947006367"	"agree"	115	0.208	0.211	0.185	2	2	2	2	0	0	1	1	0.328	1.92	0.864	2.061	0	0	9.466	1.89	0.655	3.839	1.728	4.121	0	0	9.466	1.89	0.655	3.839	1.728	2.59	0	0	0	0	0	1.531	0	0	0.142	0.338	5.865	7.708	0	0	11.48	22.475	0.068	0.129	0	11.356	11.356	21.699	10.343	8.812	1.531	"124292684247609_1696704947006367"	"agree"	303	70	97	24	400	94	28.39	120.808510638298	"sp"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"sp"	1	"0"
"112-sp"	112	"124292684247609_1551408811535982"	"112|124292684247609_1551408811535982|disagree"	12	"agree"	8.178	5	"124292684247609_1551408811535982|disagree"	112	12	"124292684247609_1551408811535982"	"disagree"	55	0.213	0.217	0.197	4	4	2	2	0	0	1	1	0.432	0.634	0.15	1.669	0	0	1.015	0.643	1.727	2.536	0.3	3.338	0	0	1.015	0.643	1.727	2.536	0.178	3.338	0	0	0	0	0.122	0	0	0	0.175	0.395	8.492	5.985	0	0	10.98	12.06	0.053	0.112	0	1.658	1.658	9.559	7.901	7.779	0.122	"124292684247609_1551408811535982"	"disagree"	77	14	57	12	134	26	12.3731343283582	63.7692307692308	"sp"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"sp"	1	"0"
"112-sp"	112	"124292684247609_1870482682961925"	"112|124292684247609_1870482682961925|disagree"	8	"disagree"	0	0	"124292684247609_1870482682961925|disagree"	112	8	"124292684247609_1870482682961925"	"disagree"	55	0.208	0.216	0.189	3	2	1	1	1	0	2	2	0.232	1.143	0.305	3.288	0.203	0	0.445	0.37	0.697	2.286	0.305	3.288	0.203	0	0.889	0.741	0.697	2.286	0.305	3.288	0	0	0	0	0	0	0.203	0	0.182	0.342	9.092	5.473	12.767	0	10.723	11.338	0.056	0.122	0	1.63	1.63	8.409	6.779	6.576	0.203	"124292684247609_1870482682961925"	"disagree"	41	9	36	10	77	19	21.1688311688312	85.7894736842105	"sp"	0	"10/15/2018 16:47:25"	1988	"Man"	5	1	3	"sp"	1	"0"
"113-cu"	113	"124292684247609_1635135699829959"	"113|124292684247609_1635135699829959|disagree"	17	"disagree"	0.144	5	"124292684247609_1635135699829959|disagree"	113	17	"124292684247609_1635135699829959"	"disagree"	19	0.199	0.199	0	0	2	2	1	0	0	1	0	0	0.252	0.712	0.73	0	0	1.131	0	0	0.504	1.423	0.73	0	0	1.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0.567	1.939	0	0	3.134	0	0.045	0.144	0	1.131	1.131	3.788	2.657	0	0	"124292684247609_1635135699829959"	"disagree"	152	30	75	17	227	47	4.98237885462555	24.063829787234	"cu"	0	"10/16/2018 14:42:50"	1998	"Kvinna"	5	1	3	"cu"	2	"0"
"113-cu"	113	"124292684247609_1846952198648307"	"113|124292684247609_1846952198648307|agree"	19	"agree"	0.133	5	"124292684247609_1846952198648307|agree"	113	19	"124292684247609_1846952198648307"	"agree"	16	0.207	0.207	0	0	2	4	1	0	0	0	0	0	0.523	0.378	0.75	0	0	0	0	0	1.047	1.511	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0.196	2.295	0	0	0	0	0.053	0.175	0	0	0	3.308	3.308	0	0	"124292684247609_1846952198648307"	"agree"	106	25	127	29	233	54	0	0	"cu"	0	"10/16/2018 14:42:50"	1998	"Kvinna"	5	1	3	"cu"	2	"0"
