"ID"	"VAR00"	"VAR00_1"	"VAR01"	"VAR02"	"VAR03"	"VAR03_1"	"VAR04_1"	"VAR04_2"	"VAR04_3"	"VAR04_4"	"VAR04_5"	"VAR04_6"	"VAR04_7"	"VAR04_8"	"VAR04_9"	"VAR04_10"	"VAR04_11"	"VAR04_12"	"VAR04_13"	"VAR04_14"	"VAR04_15"	"VAR04_16"	"VAR05_1"	"VAR05_2"	"VAR05_3"	"VAR05_4"	"VAR05_5"	"VAR05_6"	"VAR05_7"	"VAR06_1"	"VAR06_2"	"VAR06_3"	"VAR06_4"	"VAR06_5"	"VAR06_6"	"VAR07_1"	"VAR07_2"	"VAR07_3"	"VAR07_4"	"VAR07_5"	"VAR07_6"	"VAR07_7"	"VAR07_8"	"VAR07_9"	"VAR08_1"	"VAR08_2"	"VAR08_3"	"VAR08_4"	"VAR08_5"	"VAR08_6"	"VAR09_1"	"demo_age"	"demo_gender"	"VAR12"	"VAR12_1"	"VAR13"	"VAR14"	"VAR14_1"	"VAR15"	"VAR16"	"VAR17"	"VAR18"	"demo_nationality"	"gen_insec_mean"	"dest_info_mean"	"gen_trav_sum"	"gen_trav_int"	"gen_trav_bin"	"dest_sec"	"dest_trav_int"
4	7	""	5	21	6	""	5	5	4	5	5	4	4	4	4	4	3	3	3	2	4	4	5	4	4	5	5	5	5	2	4	3	4	4	4	2	2	2	2	4	2	3	2	2	5	5	3	2	2	2	4	23	"2"	1	""	5	5	""	2	5	1	0	"swe"	3.16666666666667	3.4	1	1	1	4	5
5	7	""	2	3	1	""	5	4	4	4	5	5	5	5	5	4	3	4	4	4	5	4	4	4	3	4	4	4	4	4	4	2	4	4	4	2	2	3	2	2	2	4	3	3	4	4	2	2	2	2	5	35	"2"	1	""	6	5	""	6	4	1	0	"swe"	2.66666666666667	3.6	1	1	1	5	2
6	7	""	1	1	2	""	5	5	5	5	6	5	5	2	6	6	5	6	6	5	5	6	4	4	4	4	4	4	4	2	3	3	4	4	3	2	2	2	2	2	2	4	4	2	4	4	4	4	4	4	4	57	"2"	8	""	4	4	""	3	0	3	0	"int"	4	3.2	3	2	2	5	1
7	7	""	1	1	2	""	4	3	4	4	3	4	4	4	3	5	5	3	3	4	4	4	4	4	4	3	4	4	4	4	5	4	3	3	5	3	2	2	2	2	2	2	3	2	2	4	4	4	2	2	5	56	"1"	8	""	7	3	""	4	34	4	4	"int"	3	3.8	8	3	2	4	1
8	7	""	1	1	2	""	5	4	5	5	6	4	4	4	6	4	4	6	5	4	4	5	5	5	5	5	5	5	5	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	59	"1"	8	""	1	3	""	6	0	1	0	"int"	2	4	1	1	1	4	1
9	7	""	1	1	2	""	4	4	4	5	3	3	3	4	3	3	3	3	3	3	3	3	4	3	4	4	4	4	4	3	3	4	4	3	4	2	2	2	2	2	2	2	2	4	4	4	4	4	2	2	4	55	"2"	8	""	1	3	""	2	0	20	0	"int"	3.33333333333333	3.4	20	3	2	3	1
10	7	""	1	21	1	""	5	5	4	4	3	4	4	5	5	3	3	3	4	5	5	5	5	5	5	4	5	5	5	4	4	3	4	3	4	2	2	2	2	1	1	2	2	2	2	4	3	2	1	2	5	25	"1"	11	""	1	5	""	4	3	3	4	"int"	2.33333333333333	3.6	7	3	2	5	1
11	7	""	1	4	1	""	5	5	4	5	5	4	5	4	6	6	1	6	6	4	5	5	5	5	5	5	5	5	5	3	3	3	4	4	4	4	4	3	4	4	3	4	3	4	4	4	3	4	4	3	4	25	"1"	11	""	2	5	""	4	0	0	0	"int"	3.66666666666667	3.4	0	1	1	5	1
12	7	""	5	17	6	""	5	5	5	5	5	4	4	4	5	3	2	4	4	2	2	3	4	4	3	4	4	3	3	4	3	3	3	3	3	2	2	2	3	4	3	3	4	3	4	4	4	5	5	4	4	18	"2"	1	""	2	2	""	4	2	1	1	"swe"	4.33333333333333	3.2	2	2	2	2	5
13	7	""	3	4	1	""	5	5	5	5	5	4	5	5	5	5	5	3	3	4	5	3	5	5	5	5	5	5	5	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	27	"2"	1	""	6	8	"See"	5	1	1	0	"swe"	3	4	1	1	1	5	3
14	7	""	5	30000	7	"Bor I Stockholm"	4	2	4	4	3	2	4	1	2	2	2	4	5	4	2	3	4	5	5	5	5	5	5	3	5	3	4	4	4	2	1	2	3	3	2	4	4	4	4	5	5	4	1	2	5	18	"2"	1	""	2	3	""	2	0	2	0	"swe"	3.5	3.8	2	2	2	2	5
15	7	""	5	21	6	""	5	4	4	4	3	2	4	4	3	2	1	3	2	4	5	3	5	4	5	5	5	5	5	3	3	4	4	4	3	2	1	1	1	2	2	1	1	1	1	4	1	1	1	1	5	19	"2"	1	""	5	3	""	2	0	4	0	"swe"	1.5	3.6	4	3	2	5	5
16	7	""	1	1	1	""	5	3	5	5	6	5	5	5	6	4	5	6	5	5	5	6	5	5	6	6	5	5	5	4	5	4	3	4	4	2	2	3	2	3	2	1	1	2	3	4	4	2	2	2	5	18	"1"	6	""	5	3	""	5	0	1	0	"int"	2.83333333333333	4	1	1	1	5	1
17	7	""	1	6	1	""	5	4	5	5	5	5	5	5	5	3	4	3	3	4	5	5	5	5	4	5	4	4	5	4	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	5	2	2	2	1	5	63	"1"	11	""	3	6	""	1	0	1	0	"int"	2.33333333333333	2.6	1	1	1	5	1
18	7	""	1	5	7	"Vacation"	5	5	6	5	6	5	5	5	5	6	6	6	6	4	5	6	5	5	5	5	5	5	5	4	4	3	4	4	4	1	1	1	1	1	1	1	1	1	4	4	3	2	1	1	5	63	"2"	11	""	2	6	""	2	0	1	0	"int"	2.5	3.8	1	1	1	5	1
19	7	""	1	5	1	""	5	5	6	6	2	6	6	6	5	3	3	3	3	4	5	3	5	4	4	4	5	5	5	3	3	3	3	4	4	1	1	2	2	1	1	4	2	2	4	4	2	2	1	2	5	26	"2"	11	""	4	6	""	1	3	1	0	"int"	2.5	3.2	1	1	1	5	1
20	7	""	1	5	1	""	4	3	4	4	4	5	5	5	5	6	4	6	6	4	4	4	4	5	4	4	5	5	5	4	4	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	28	"1"	11	""	4	6	""	1	0	1	0	"int"	2	2.8	1	1	1	4	1
21	7	""	1	1	2	""	3	5	3	4	3	4	3	4	3	3	3	3	3	4	5	5	5	5	5	5	5	5	5	4	4	4	3	3	4	3	2	2	2	2	2	4	3	3	4	4	3	3	2	4	4	53	"2"	8	""	4	2	""	2	0	2	0	"int"	3.33333333333333	3.6	2	2	2	5	1
22	7	""	1	1	2	""	4	4	4	4	3	4	4	4	3	3	3	4	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	3	2	2	2	4	2	2	2	4	5	56	"1"	8	""	8	4	""	3	2	3	1	"int"	2.66666666666667	4	4	3	2	4	1
23	7	""	4	6	1	""	4	4	4	4	4	5	5	5	5	5	3	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	3	5	5	1	1	1	1	1	1	2	1	1	5	5	5	5	5	2	5	20	"1"	12	""	2	3	""	3	0	1	0	"int"	4.5	4.4	1	1	1	5	4
24	7	""	1	4	7	"Skandinavische Hauptstaedte"	5	5	4	5	6	5	5	5	6	6	6	6	6	3	4	6	5	5	5	5	5	5	5	5	5	5	5	3	3	1	1	1	4	4	4	4	3	3	2	4	4	3	2	4	5	50	"2"	10	""	3	6	""	10	3	3	0	"int"	3.16666666666667	4.6	3	2	2	4	1
25	7	""	1	3	1	""	1	1	2	3	3	4	6	5	6	6	5	5	5	4	3	6	3	3	6	6	5	4	5	3	3	4	4	3	4	3	4	4	2	5	1	3	4	5	2	2	1	1	3	3	4	18	"1"	10	""	5	2	""	25	0	1	0	"int"	2	3.4	1	1	1	3	1
26	7	""	1	3	2	""	4	4	4	4	6	2	6	3	6	4	6	6	6	1	3	6	1	2	3	3	3	3	3	4	4	1	3	3	3	4	2	2	4	2	4	2	4	4	2	2	3	2	2	2	4	47	"1"	10	""	5	6	""	20	4	1	2	"int"	2.16666666666667	3	3	2	2	3	1
27	7	""	5	1	2	""	5	5	5	4	3	5	5	5	4	5	5	5	4	4	5	5	5	4	5	5	5	5	5	5	5	4	4	4	5	1	1	1	1	1	1	1	1	1	5	2	2	2	2	2	5	22	"2"	3	""	4	3	""	1	0	2	0	"int"	2.5	4.4	2	2	2	5	5
28	7	""	3	2	1	""	4	4	4	3	4	4	4	3	3	2	3	3	4	2	3	3	4	3	4	4	2	2	2	4	2	3	4	2	4	4	3	4	2	3	4	3	3	2	2	3	2	2	3	2	4	51	"2"	3	""	6	6	""	2	1	0	1	"int"	2.33333333333333	3	1	1	1	3	3
29	7	""	2	3	2	""	4	5	5	6	6	5	5	2	5	5	2	4	4	2	4	4	5	4	4	5	5	4	5	4	4	3	4	4	4	2	2	2	3	4	3	3	4	3	4	4	4	3	3	4	4	39	"1"	12	"Taiwan's"	2	6	""	12	11	2	1	"int"	3.66666666666667	3.8	3	2	2	4	2
30	7	""	5	2	6	""	5	4	4	5	3	6	5	4	3	4	2	3	4	4	4	3	5	5	5	5	4	4	4	4	4	2	3	2	3	2	2	1	1	1	1	2	2	2	4	2	2	2	2	2	5	33	"1"	4	""	1	6	""	2	0	0	2	"int"	2.33333333333333	3	2	2	2	4	5
31	7	""	5	5	1	""	5	5	5	5	5	4	4	5	5	5	4	4	5	3	5	2	5	4	4	5	4	4	4	4	4	4	4	4	5	2	2	2	2	4	2	4	4	4	4	4	2	2	2	2	5	46	"2"	1	""	5	5	""	4	0	1	0	"swe"	2.66666666666667	4	1	1	1	5	5
32	7	""	3	4	1	""	5	5	5	5	5	5	6	4	4	4	6	5	4	1	5	1	5	5	5	5	5	5	5	5	5	4	4	5	5	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	4	47	"1"	1	""	5	4	""	1	1	0	0	"swe"	1.5	4.6	0	1	1	5	3
33	7	""	5	1	7	""	5	5	5	5	3	4	4	2	4	3	5	3	5	2	2	1	5	5	5	5	4	3	4	1	1	1	4	1	1	1	1	1	1	1	2	1	1	1	5	5	5	5	5	5	3	62	"2"	1	""	4	3	""	5	0	3	0	"swe"	5	1.6	3	2	2	2	5
34	7	""	2	4	1	""	5	5	6	5	4	5	5	5	5	6	4	6	4	3	4	6	5	5	6	5	5	5	5	4	4	5	4	3	4	1	1	1	1	1	1	1	1	1	4	5	3	4	2	2	5	27	"2"	10	""	2	5	""	2	1	2	0	"int"	3.33333333333333	4	2	2	2	4	2
35	7	""	1	1	1	""	5	4	4	4	3	5	5	5	4	4	4	4	4	4	5	4	4	4	4	4	5	4	5	5	4	3	4	3	4	2	1	2	2	2	2	2	2	2	5	5	4	4	3	2	5	62	"1"	8	""	4	6	""	4	0	1	0	"int"	3.83333333333333	3.8	1	1	1	5	1
36	7	""	5	1	2	""	5	5	5	5	5	5	5	5	4	4	2	4	5	4	5	5	5	5	5	5	5	5	5	4	4	4	3	3	4	1	1	1	1	1	1	2	2	1	4	4	2	2	2	2	5	22	"2"	1	""	6	3	""	4	4	1	0	"swe"	2.66666666666667	3.6	1	1	1	5	5
37	6	""	5	2	3	""	5	5	5	5	5	5	5	5	5	5	4	5	5	4	4	4	4	4	4	5	5	5	4	5	5	5	4	4	4	2	1	1	2	2	2	4	2	2	5	5	4	4	4	4	5	19	"1"	1	""	5	3	""	6	0	2	0	"swe"	4.33333333333333	4.6	2	2	2	4	5
38	7	""	5	1	6	""	5	5	5	5	4	5	5	5	5	4	4	5	5	4	4	4	4	3	4	5	4	4	4	4	4	3	3	3	4	2	2	1	2	2	2	3	2	2	5	5	5	2	2	2	5	33	"1"	1	""	4	5	""	6	12	2	0	"swe"	3.5	3.4	2	2	2	4	5
39	7	""	5	5	1	""	5	5	4	5	4	5	6	5	5	3	4	5	5	4	4	4	4	3	3	4	3	3	5	5	5	4	4	4	4	4	3	2	3	4	2	2	3	3	4	4	4	4	4	4	5	42	"2"	1	""	6	5	""	5	0	1	0	"swe"	4	4.4	1	1	1	4	5
40	7	""	5	1	4	""	5	5	5	5	3	5	5	5	4	4	3	4	4	4	4	4	4	4	4	5	4	4	5	5	4	4	5	5	4	2	2	1	2	2	4	2	2	2	5	5	5	4	4	4	5	71	"1"	1	""	4	3	""	7	0	1	0	"swe"	4.5	4.6	1	1	1	4	5
42	7	""	5	1	2	""	5	5	3	5	2	4	2	4	4	3	2	3	4	2	3	4	5	4	4	4	5	4	5	4	5	3	4	3	2	2	1	1	2	3	1	4	1	1	2	2	2	2	2	1	5	21	"1"	1	""	8	5	""	12	0	1	0	"swe"	1.83333333333333	3.8	1	1	1	3	5
43	7	""	3	7	6	""	5	5	5	5	5	5	5	5	5	4	5	4	5	4	4	4	4	5	5	5	5	5	4	5	5	5	5	5	5	1	1	1	1	2	1	2	2	2	2	2	2	2	1	2	4	56	"1"	1	""	7	3	""	10	40	2	1	"swe"	1.83333333333333	5	3	2	2	4	3
44	1	""	5	2	4	""	5	5	5	5	4	4	4	5	5	3	3	4	5	5	5	3	5	5	5	5	5	5	5	3	2	2	4	3	2	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2	5	23	"2"	1	""	4	4	""	10	0	3	0	"swe"	1.5	2.8	3	2	2	5	5
45	1	""	5	7	4	""	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	3	5	5	5	5	5	5	5	3	3	3	3	3	3	4	1	4	1	1	1	1	1	1	4	4	4	4	1	1	5	46	"1"	1	""	2	3	""	2	0	1	0	"swe"	3	3	1	1	1	5	5
46	7	""	5	1	4	""	5	5	5	5	6	5	5	2	5	5	6	5	5	2	2	2	5	5	5	5	5	5	5	1	4	1	2	4	5	1	1	1	4	1	1	1	1	1	1	5	5	1	1	1	5	75	"1"	1	""	2	2	""	10	0	4	0	"swe"	2.33333333333333	2.4	4	3	2	2	5
47	1	""	5	5	4	""	5	5	5	5	4	5	5	3	4	5	1	6	5	4	4	1	5	5	2	5	5	5	3	1	1	1	1	1	2	2	2	3	3	2	2	3	3	3	3	3	4	1	5	5	3	43	"2"	2	""	3	3	""	3	8	3	3	"int"	3.5	1	6	3	2	4	5
48	11	"Amal"	3	1	3	""	5	5	5	5	6	5	5	5	5	6	6	6	5	5	5	6	5	5	6	6	5	5	5	2	1	2	2	2	2	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	4	49	"1"	1	""	8	6	""	6	4	1	4	"swe"	1.33333333333333	1.8	5	3	2	5	3
49	11	"Angelholm"	5	1	4	""	5	5	5	5	6	5	5	5	2	6	6	6	5	5	6	6	5	1	5	5	5	5	5	1	4	1	4	4	4	1	1	1	1	2	2	4	1	1	1	4	1	1	1	1	5	36	"2"	1	""	2	5	""	10	10	1	5	"swe"	1.5	2.8	6	3	2	NA	5
50	11	"Mellerud"	5	1	7	"Mellanlandning"	5	5	5	5	6	5	5	2	6	3	6	4	5	4	3	3	5	3	5	5	5	5	5	1	2	1	2	4	1	2	1	1	3	4	1	4	4	4	2	2	2	2	2	4	5	70	"2"	1	""	6	5	""	50	100	12	0	"swe"	2.33333333333333	2	12	3	2	3	5
51	11	"Arvika"	2	12	4	""	4	4	4	4	3	4	4	4	3	3	4	4	4	5	4	3	4	4	4	4	4	4	4	2	4	3	4	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	47	"2"	6	""	6	3	""	1	0	0	0	"int"	2	3.2	0	1	1	4	2
52	1	""	5	1	3	""	5	5	5	5	6	5	6	4	6	6	6	2	5	5	5	6	5	5	5	5	5	5	5	1	1	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	62	"1"	1	""	8	7	""	20	20	1	2	"swe"	1	3.4	3	2	2	5	5
53	11	"Falkenberg"	3	1	7	"Tagbyte"	3	5	3	5	3	5	6	5	6	6	6	6	5	5	5	2	5	5	5	5	5	5	5	4	4	4	5	5	2	1	1	1	2	4	2	1	2	1	4	4	2	1	1	1	5	70	"1"	1	""	4	5	""	2	0	1	0	"swe"	2.16666666666667	4.4	1	1	1	5	3
54	1	""	3	7	7	"Sailing"	3	6	6	4	6	5	4	4	6	4	1	6	4	4	5	6	5	5	6	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	1	1	1	4	67	"1"	9	""	8	6	""	20	0	2	0	"int"	2	1	2	2	2	5	3
55	11	"Grundsund"	5	2	7	"Hem traffa me vannina"	3	1	3	1	3	3	3	3	3	3	1	3	3	1	3	1	4	4	4	5	4	4	4	5	5	5	5	1	5	1	1	1	1	4	2	4	1	2	2	2	4	5	2	5	5	36	"2"	1	""	3	6	""	15	1	0	0	"swe"	3.33333333333333	4.2	0	1	1	3	5
56	1	""	5	1	2	""	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	"2"	1	""	4	3	""	60	0	0	0	"swe"	1	1.4	0	1	1	1	5
57	1	""	5	2	2	""	3	5	4	5	3	4	5	5	3	2	2	3	3	4	4	2	5	4	4	3	3	2	4	2	3	2	4	4	4	2	2	2	2	3	3	2	4	2	4	4	3	2	3	1	5	18	"2"	1	""	5	3	""	62	0	3	0	"swe"	2.83333333333333	3	3	2	2	4	5
